Number,Type,Skin,NumberTraits,Traits,Rarity,HiddenTraits,Owner
4983,Female,Dark-skinned,3,"['Clown Nose', 'Hot Lipstick', 'Red Mohawk']",1924,,0xCffC33
4984,Male,Mid-skinned,4,"['Cigarette', 'Normal Beard', 'Vampire Hair', 'VR']",2089,,0x26f744
4985,Female,Dark-skinned,2,"['Big Shades', 'Tassle Hat']",3700,,0x0B53c8
4986,Male,Albino-skinned,2,"['Eye Mask', 'Peak Spike']",7106,,0x8F6b1e
4987,Male,Dark-skinned,3,"['Bandana', 'Buck Teeth', 'Clown Eyes Green']",379,,0xD79b93
4988,Male,Mid-skinned,3,"['Eye Mask', 'Headband', 'Luxurious Beard']",6291,,0xF36972
4989,Male,Dark-skinned,3,"['3D Glasses', 'Goat', 'Vampire Hair']",2063,,0xca105c
4990,Female,Light-skinned,3,"['Black Lipstick', 'Cigarette', 'Clown Eyes Blue']",4552,,0x96B48F
4991,Male,Mid-skinned,2,"['Messy Hair', 'Regular Shades']",9641,,0xC6a820
4992,Male,Albino-skinned,2,"['Classic Shades', 'Hoodie']",4956,,0x0E9AED
4993,Male,Dark-skinned,4,"['Cigarette', 'Normal Beard Black', 'Regular Shades', 'Stringy Hair']",6885,,0x4d8E16
4994,Male,Mid-skinned,3,"['Goat', 'Mohawk', 'Mole']",7314,,0xF4AA2a
4995,Male,Light-skinned,2,"['Hoodie', 'Horned Rim Glasses']",4983,,0xd0732C
4996,Female,Mid-skinned,3,"['Earring', 'Hot Lipstick', 'Red Mohawk']",2398,,0xb70c1a
4997,Female,Mid-skinned,3,"['Hot Lipstick', 'Purple Eye Shadow', 'Straight Hair Dark']",2465,,0x6611fE
4998,Male,Dark-skinned,4,"['Chinstrap', 'Cigarette', 'Frown', 'Messy Hair']",5191,,0x072269
4999,Male,Light-skinned,4,"['Goat', 'Mole', 'Nerd Glasses', 'Stringy Hair']",7354,,0x2E50b2
5000,Female,Light-skinned,3,"['Green Eye Shadow', 'Hot Lipstick', 'Wild White Hair']",1249,,0x717403
5001,Female,Dark-skinned,2,"['Hot Lipstick', 'Orange Side']",312,,0x0601D0
5002,Male,Dark-skinned,4,"['Beanie', 'Earring', 'Nerd Glasses', 'Pipe']",74,,0x828983
5003,Male,Mid-skinned,3,"['3D Glasses', 'Frown', 'Headband']",5196,,0x69021A
5004,Male,Light-skinned,4,"['Earring', 'Front Beard Dark', 'Headband', 'Horned Rim Glasses']",5079,,0x35fFC4
5005,Female,Dark-skinned,2,"['Messy Hair', 'Nerd Glasses']",9677,,0xdb9187
5006,Male,Mid-skinned,3,"['Chinstrap', 'Regular Shades', 'Vampire Hair']",2056,,0xfC80c3
5007,Female,Albino-skinned,2,"['Hot Lipstick', 'Straight Hair']",2848,,0x7760E0
5008,Male,Mid-skinned,2,"['Classic Shades', 'Cowboy Hat']",1449,,0x8BB4F3
5009,Female,Dark-skinned,3,"['Big Shades', 'Cap', 'Earring']",8186,,0xb38071
5010,Female,Light-skinned,4,"['Horned Rim Glasses', 'Medical Mask', 'Purple Lipstick', 'Straight Hair']",2722,['Hidden Lipstick'],0xe8723d
5011,Female,Dark-skinned,2,"['Cigarette', 'Straight Hair Dark']",2698,,0xB5b84E
5012,Male,Mid-skinned,2,"['Cigarette', 'Crazy Hair']",8829,,0x68A7Ac
5013,Male,Light-skinned,3,"['Messy Hair', 'Normal Beard Black', 'Pipe']",6764,,0x9cC5F0
5014,Female,Mid-skinned,3,"['Black Lipstick', 'Clown Eyes Blue', 'Straight Hair Blonde']",1612,,0xC72AED
5015,Male,Dark-skinned,4,"['Buck Teeth', 'Goat', 'Mohawk', 'Vape']",351,,0x577eBC
5016,Male,Albino-skinned,4,"['Do-rag', 'Earring', 'Mole', 'Regular Shades']",7517,,0x19F233
5017,Male,Dark-skinned,3,"['Bandana', 'Big Shades', 'Earring']",9923,,0xd94Be5
5018,Male,Dark-skinned,2,"['Frumpy Hair', 'Goat']",7327,,0x0e6167
5019,Male,Light-skinned,3,"['Earring', 'Mohawk Dark', 'Nerd Glasses']",9021,,0x0f08f5
5020,Male,Dark-skinned,3,"['Bandana', 'Classic Shades', 'Front Beard Dark']",5167,,0x5743E4
5021,Male,Dark-skinned,3,"['Earring', 'Mohawk Thin', 'Shadow Beard']",9140,,0x393708
5022,Male,Dark-skinned,2,"['Mohawk', 'Normal Beard']",7029,,0xE83C75
5023,Male,Dark-skinned,4,"['Earring', 'Front Beard Dark', 'Nerd Glasses', 'Peak Spike']",5045,,0x7F6Ca7
5024,Female,Mid-skinned,4,"['Black Lipstick', 'Blue Eye Shadow', 'Earring', 'Straight Hair Dark']",2473,['Hidden Earring'],0x01Ec73
5025,Male,Dark-skinned,3,"['Eye Patch', 'Medical Mask', 'Vampire Hair']",1913,,0xF1ad94
5026,Female,Mid-skinned,3,"['Classic Shades', 'Earring', 'Straight Hair']",2804,['Hidden Earring'],0x00B278
5027,Female,Dark-skinned,3,"['Clown Eyes Green', 'Earring', 'Wild White Hair']",1278,['Hidden Earring'],0x0601D0
5028,Male,Dark-skinned,3,"['Messy Hair', 'Muttonchops', 'Small Shades']",7656,,0xF7c82e
5029,Male,Light-skinned,2,"['Clown Eyes Green', 'Headband']",8336,,0x96B48F
5030,Female,Light-skinned,2,"['Horned Rim Glasses', 'Wild Hair']",9540,,0xdD9D84
5031,Male,Light-skinned,3,"['Clown Eyes Blue', 'Frumpy Hair', 'Shadow Beard']",8538,,0xD79b93
5032,Female,Mid-skinned,4,"['Cigarette', 'Clown Eyes Blue', 'Hot Lipstick', 'Wild Hair']",8553,,0xD79b93
5033,Male,Light-skinned,3,"['Classic Shades', 'Handlebars', 'Peak Spike']",5492,,0xEE4512
5034,Male,Light-skinned,3,"['Cap', 'Classic Shades', 'Shadow Beard']",8153,,0xCC7C33
5035,Male,Mid-skinned,3,"['Classic Shades', 'Handlebars', 'Knitted Cap']",5547,,0xCC7C33
5036,Female,Albino-skinned,4,"['Clown Eyes Green', 'Earring', 'Hot Lipstick', 'Red Mohawk']",2186,,0xCC7C33
5037,Male,Light-skinned,3,"['Cap', 'Earring', 'Shadow Beard']",8167,,0x6611fE
5038,Female,Mid-skinned,3,"['Cigarette', 'Mohawk Dark', 'Purple Eye Shadow']",5378,,0xcfc505
5039,Male,Mid-skinned,3,"['Do-rag', 'Front Beard Dark', 'Horned Rim Glasses']",5029,,
5040,Female,Dark-skinned,2,"['Black Lipstick', 'Tassle Hat']",3715,,0x076d14
5041,Male,Dark-skinned,3,"['Mohawk Dark', 'Mustache', 'Small Shades']",6613,,0x7bEf66
5042,Female,Dark-skinned,3,"['Clown Eyes Blue', 'Hot Lipstick', 'Mohawk Thin']",8525,,0xD79b93
5043,Female,Light-skinned,2,"['Clown Eyes Blue', 'Messy Hair']",8569,,0x6611fE
5044,Female,Mid-skinned,3,"['Black Lipstick', 'Eye Patch', 'Frumpy Hair']",9342,,0x8b7a5B
5045,Female,Albino-skinned,2,"['Mohawk Dark', 'Nerd Glasses']",9018,,0x717403
5046,Male,Mid-skinned,2,"['Mole', 'Small Shades']",4544,,0x9649e3
5047,Male,Dark-skinned,2,"['Police Cap', 'Rosy Cheeks']",1013,,0x6611fE
5048,Male,Light-skinned,3,"['Bandana', 'Earring', 'Handlebars']",5620,,0x6611fE
5049,Female,Light-skinned,3,"['Clown Eyes Green', 'Orange Side', 'Purple Lipstick']",282,,0xE80547
5050,Male,Light-skinned,3,"['Regular Shades', 'Shadow Beard', 'Shaved Head']",7494,,0x696ed7
5051,Male,Mid-skinned,4,"['3D Glasses', 'Earring', 'Front Beard', 'Peak Spike']",5954,,0xD4fa6E
5052,Female,Light-skinned,3,"['Clown Nose', 'Mohawk Dark', 'Purple Eye Shadow']",4101,,0x4DFaC3
5053,Female,Dark-skinned,4,"['Earring', 'Hot Lipstick', 'Vape', 'Wild White Hair']",1255,['Hidden Earring'],0x69021A
5054,Female,Dark-skinned,1,['Clown Eyes Blue'],4498,,0x0E9AED
5055,Female,Mid-skinned,4,"['Black Lipstick', 'Earring', 'Regular Shades', 'Straight Hair']",2805,['Hidden Earring'],0x6611fE
5056,Male,Albino-skinned,4,"['Beanie', 'Earring', 'Luxurious Beard', 'VR']",64,,0x062C54
5057,Male,Dark-skinned,5,"['Chinstrap', 'Classic Shades', 'Earring', 'Mole', 'Shaved Head']",3341,['Hidden Mole'],0x6611fE
5058,Male,Light-skinned,2,"['Small Shades', 'Stringy Hair']",8317,,0x516358
5059,Male,Light-skinned,3,"['Gold Chain', 'Headband', 'Regular Shades']",3435,,0x6611fE
5060,Female,Dark-skinned,4,"['Earring', 'Green Eye Shadow', 'Purple Lipstick', 'Straight Hair Dark']",2492,['Hidden Earring'],0x6611fE
5061,Male,Dark-skinned,2,"['Big Beard', 'Frumpy Hair']",1861,,0x6611fE
5062,Male,Mid-skinned,3,"['Crazy Hair', 'Front Beard Dark', 'VR']",5055,,0x88A679
5063,Male,Dark-skinned,3,"['Front Beard Dark', 'Nerd Glasses', 'Shaved Head']",5031,,0xA06bd7
5064,Female,Mid-skinned,3,"['Cigarette', 'Eye Mask', 'Straight Hair']",2767,,0x6611fE
5065,Male,Mid-skinned,3,"['Earring', 'Fedora', 'Front Beard Dark']",3765,,0x224CE8
5066,Zombie,Zombie-skinned,3,"['Earring', 'Knitted Cap', 'Smile']",495,,0xBA19BA
5067,Female,Dark-skinned,3,"['Classic Shades', 'Earring', 'Red Mohawk']",2244,,0x6611fE
5068,Female,Dark-skinned,3,"['Earring', 'Messy Hair', 'Welding Goggles']",474,,0xD79b93
5069,Female,Mid-skinned,2,"['Green Eye Shadow', 'Straight Hair Dark']",2502,,0x6611fE
5070,Male,Light-skinned,3,"['Cap Forward', 'Mole', 'Regular Shades']",4749,,0xa20416
5071,Female,Light-skinned,3,"['Bandana', 'Big Shades', 'Hot Lipstick']",9916,,0x1F52DC
5072,Male,Light-skinned,3,"['Horned Rim Glasses', 'Knitted Cap', 'Smile']",4331,,0xe34Bde
5073,Female,Mid-skinned,3,"['Classic Shades', 'Hot Lipstick', 'Mohawk Dark']",8968,,
5074,Female,Dark-skinned,4,"['Cap', 'Cigarette', 'Hot Lipstick', 'Nerd Glasses']",8202,,0xCE3ecc
5075,Female,Mid-skinned,3,"['Earring', 'Green Eye Shadow', 'Headband']",5734,,0x577eBC
5076,Female,Dark-skinned,2,"['Black Lipstick', 'Wild Blonde']",1695,,0x5f18f9
5077,Male,Mid-skinned,3,"['Earring', 'Horned Rim Glasses', 'Messy Hair']",9658,,0x81b9A5
5078,Male,Mid-skinned,3,"['Classic Shades', 'Knitted Cap', 'Normal Beard Black']",6813,,0xE7436A
5079,Female,Mid-skinned,4,"['Clown Eyes Green', 'Hot Lipstick', 'Messy Hair', 'Pipe']",7842,,0x96B48F
5080,Male,Light-skinned,4,"['Earring', 'Shadow Beard', 'Small Shades', 'Wild Hair']",8296,,0xb0161d
5081,Female,Light-skinned,4,"['Black Lipstick', 'Blonde Short', 'Cigarette', 'VR']",1134,,0xCC7C33
5082,Female,Mid-skinned,3,"['Blonde Short', 'Eye Patch', 'Hot Lipstick']",1156,,0xCC7C33
5083,Female,Dark-skinned,4,"['Cigarette', 'Clown Eyes Green', 'Earring', 'Pink With Hat']",699,['Hidden Earring'],0x9e2b8A
5084,Female,Light-skinned,3,"['Black Lipstick', 'Clown Eyes Blue', 'Straight Hair Blonde']",1610,,0x9Ef55a
5085,Female,Albino-skinned,3,"['Earring', 'Mohawk Dark', 'Purple Lipstick']",9047,,0x6F4A2d
5086,Female,Light-skinned,2,"['Mohawk Dark', 'Regular Shades']",8993,,0x6F4A2d
5087,Male,Mid-skinned,2,"['Front Beard', 'Knitted Cap']",6032,,0x8bE6ad
5088,Male,Albino-skinned,3,"['Earring', 'Knitted Cap', 'Regular Shades']",8874,,0x8133A5
5089,Male,Mid-skinned,3,"['Muttonchops', 'Regular Shades', 'Wild Hair']",7728,,0x961d63
5090,Male,Light-skinned,3,"['Eye Patch', 'Goat', 'Stringy Hair']",7351,,0x0e6167
5091,Male,Albino-skinned,2,"['Nerd Glasses', 'Wild Hair']",9549,,0x00D29f
5092,Male,Light-skinned,3,"['Hoodie', 'Luxurious Beard', 'Regular Shades']",4843,,0x429288
5093,Male,Light-skinned,3,"['3D Glasses', 'Cap', 'Rosy Cheeks']",1034,,0x696ed7
5094,Female,Mid-skinned,3,"['Clown Eyes Blue', 'Hot Lipstick', 'Mohawk Dark']",8508,,0x6611fE
5095,Male,Light-skinned,3,"['Earring', 'Knitted Cap', 'Shadow Beard']",8868,,0x606e83
5096,Female,Mid-skinned,4,"['Blonde Bob', 'Clown Eyes Green', 'Hot Lipstick', 'Pipe']",2125,,0x279679
5097,Female,Mid-skinned,3,"['Black Lipstick', 'Blue Eye Shadow', 'Wild Hair']",5683,,0xDde8DF
5098,Male,Dark-skinned,3,"['Front Beard Dark', 'Frown', 'Frumpy Hair']",5002,['Hidden Frown'],0x50664e
5099,Female,Light-skinned,2,"['Bandana', 'Clown Eyes Blue']",8601,,0x3BE89b
5100,Male,Dark-skinned,3,"['Clown Nose', 'Earring', 'Mohawk Thin']",4173,,0x51688C
5101,Male,Dark-skinned,5,"['Earring', 'Front Beard Dark', 'Frown', 'Mohawk Thin', 'Small Shades']",3311,['Hidden Frown'],
5102,Female,Light-skinned,2,"['Crazy Hair', 'Green Eye Shadow']",5746,,0x4084dF
5103,Male,Dark-skinned,3,"['Frumpy Hair', 'Normal Beard', 'VR']",6948,,0xB47A70
5104,Male,Light-skinned,3,"['Cigarette', 'Horned Rim Glasses', 'Peak Spike']",7800,,0x00668b
5105,Female,Mid-skinned,3,"['Clown Eyes Green', 'Earring', 'Mohawk']",8392,,
5106,Female,Mid-skinned,4,"['Classic Shades', 'Hot Lipstick', 'Mohawk Dark', 'Mole']",8965,,0x7cB57B
5107,Male,Light-skinned,4,"['Gold Chain', 'Horned Rim Glasses', 'Muttonchops', 'Wild Hair']",3423,,0x78f026
5108,Female,Mid-skinned,5,"['Black Lipstick', 'Cigarette', 'Earring', 'Frumpy Hair', 'Purple Eye Shadow']",3327,['Hidden Earring'],0x062C54
5109,Male,Mid-skinned,4,"['Hoodie', 'Horned Rim Glasses', 'Mole', 'Shadow Beard']",4961,,0x8Ac65f
5110,Male,Light-skinned,4,"['Crazy Hair', 'Earring', 'Goat', 'Nerd Glasses']",7283,,0x41a3c9
5111,Male,Light-skinned,3,"['Cowboy Hat', 'Eye Mask', 'Normal Beard']",1406,,0xa25803
5112,Male,Light-skinned,4,"['Earring', 'Goat', 'Vape', 'Wild Hair']",5856,,0xFba169
5113,Male,Light-skinned,3,"['Frown', 'Mohawk Thin', 'Mustache']",5202,,0xCC7C33
5114,Male,Light-skinned,4,"['Big Beard', 'Earring', 'Mohawk Thin', 'Regular Shades']",1847,,0x062C54
5115,Female,Dark-skinned,2,"['Blue Eye Shadow', 'Red Mohawk']",1998,,0x7760E0
5116,Male,Mid-skinned,2,"['3D Glasses', 'Hoodie']",4855,,0xf4b4A5
5117,Female,Dark-skinned,3,"['Black Lipstick', 'Blue Eye Shadow', 'Messy Hair']",5691,,0x27C79A
5118,Female,Light-skinned,4,"['Black Lipstick', 'Earring', 'Medical Mask', 'Pigtails']",570,['Hidden Lipstick'],0xF1ad94
5119,Male,Dark-skinned,2,"['Nerd Glasses', 'Peak Spike']",7816,,0xa25803
5120,Female,Light-skinned,2,"['Dark Hair', 'Rosy Cheeks']",997,,0xFe0f33
5121,Female,Albino-skinned,2,"['Purple Eye Shadow', 'Tassle Hat']",3594,,0x062C54
5122,Male,Dark-skinned,2,"['Cap', 'Front Beard']",5998,,0x4bbb41
5123,Male,Dark-skinned,2,"['Mohawk Thin', 'Normal Beard']",7030,,0xc86Fcd
5124,Female,Light-skinned,2,"['Blonde Bob', 'VR']",2152,,0x69021A
5125,Female,Light-skinned,3,"['Blonde Bob', 'Pipe', 'Rosy Cheeks']",985,,0x062C54
5126,Male,Dark-skinned,3,"['Big Shades', 'Handlebars', 'Mohawk']",5570,,0x34f4AD
5127,Male,Mid-skinned,4,"['Big Shades', 'Chinstrap', 'Cigarette', 'Peak Spike']",6147,,0x9F7869
5128,Male,Mid-skinned,3,"['Cap Forward', 'Earring', 'Mustache']",4647,,0xF40B3d
5129,Female,Mid-skinned,3,"['Black Lipstick', 'Crazy Hair', 'Earring']",8792,,0xB47A70
5130,Male,Dark-skinned,3,"['Cap Forward', 'Eye Patch', 'Pipe']",4696,,0x717403
5131,Male,Dark-skinned,3,"['Earring', 'Mohawk Thin', 'Smile']",4348,,0x8F6b1e
5132,Female,Light-skinned,3,"['Choker', 'Clown Eyes Blue', 'Mohawk Dark']",127,,0x66F6d6
5133,Male,Mid-skinned,4,"['Big Shades', 'Earring', 'Mohawk Dark', 'Normal Beard']",7001,,0xbFe827
5134,Female,Light-skinned,1,['Black Lipstick'],4521,,0x717403
5135,Female,Mid-skinned,4,"['Black Lipstick', 'Blue Eye Shadow', 'Pipe', 'Wild White Hair']",1236,,0x2e2E26
5136,Male,Dark-skinned,2,"['3D Glasses', 'Cap']",6365,,0xCffC33
5137,Female,Dark-skinned,3,"['Mole', 'Purple Lipstick', 'Red Mohawk']",2355,,0x753b20
5138,Male,Mid-skinned,3,"['Earring', 'Mohawk Dark', 'VR']",7958,,0x7D9f4A
5139,Female,Light-skinned,3,"['Bandana', 'Black Lipstick', 'Cigarette']",9948,,0x005734
5140,Male,Light-skinned,4,"['Cigarette', 'Earring', 'Headband', 'Normal Beard Black']",6797,,0xb63C13
5141,Male,Light-skinned,2,"['Cap', 'Mustache']",6611,,0xc8c115
5142,Male,Dark-skinned,2,"['Knitted Cap', 'Normal Beard Black']",6819,,0x3b91Fe
5143,Male,Mid-skinned,2,"['Clown Hair Green', 'Front Beard']",2515,,0xD79b93
5144,Male,Dark-skinned,3,"['Cigarette', 'Clown Nose', 'Stringy Hair']",4201,,0x0B53c8
5145,Male,Dark-skinned,4,"['Earring', 'Frumpy Hair', 'Normal Beard', 'Regular Shades']",7036,,0xCffC33
5146,Male,Mid-skinned,3,"['Classic Shades', 'Goat', 'Messy Hair']",7344,,0x778608
5147,Male,Mid-skinned,3,"['Earring', 'Headband', 'Luxurious Beard']",6392,,0x717403
5148,Male,Mid-skinned,3,"['Eye Mask', 'Hoodie', 'Normal Beard']",4877,,0x61D9d9
5149,Male,Mid-skinned,5,"['Classic Shades', 'Clown Nose', 'Knitted Cap', 'Normal Beard Black', 'Smile']",3289,['Hidden Smile'],0x42777C
5150,Male,Light-skinned,3,"['Bandana', 'Cigarette', 'Clown Eyes Blue']",8595,,0x9A9358
5151,Male,Mid-skinned,2,"['Crazy Hair', 'Mole']",8805,,0x60fE3E
5152,Male,Dark-skinned,2,"['Regular Shades', 'Stringy Hair']",9788,,0x51688C
5153,Female,Dark-skinned,3,"['Earring', 'Purple Eye Shadow', 'Wild Hair']",5417,['Hidden Earring'],0xC6a820
5154,Female,Mid-skinned,4,"['Clown Eyes Blue', 'Earring', 'Half Shaved', 'Purple Lipstick']",2202,['Hidden Earring'],0x800B4d
5155,Male,Mid-skinned,3,"['Normal Beard', 'Regular Shades', 'Wild Hair']",7050,,0x32Dd07
5156,Male,Light-skinned,3,"['Knitted Cap', 'Nerd Glasses', 'Pipe']",7858,,0x67C443
5157,Male,Light-skinned,3,"['Mole', 'Peak Spike', 'VR']",7628,,0x9A9358
5158,Female,Albino-skinned,2,"['Big Shades', 'Straight Hair']",2821,,0xEC6d36
5159,Female,Light-skinned,4,"['Cigarette', 'Earring', 'Hot Lipstick', 'Tassle Hat']",3730,['Hidden Earring'],0x1d337f
5160,Female,Mid-skinned,3,"['Eye Patch', 'Hot Lipstick', 'Wild Blonde']",1628,,0xC352B5
5161,Female,Light-skinned,2,"['Cigarette', 'Clown Eyes Green']",4550,,0xD24FF5
5162,Male,Mid-skinned,2,"['Nerd Glasses', 'Purple Hair']",3258,,0x4084dF
5163,Male,Light-skinned,2,"['Headband', 'Vape']",5893,,0x74eC63
5164,Female,Mid-skinned,3,"['Half Shaved', 'Hot Lipstick', 'VR']",2147,,0x8AD272
5165,Female,Dark-skinned,2,"['Mohawk Dark', 'Purple Eye Shadow']",5380,,0x51688C
5166,Female,Dark-skinned,4,"['Clown Eyes Blue', 'Earring', 'Purple Lipstick', 'Straight Hair Blonde']",1615,['Hidden Earring'],0x51688C
5167,Female,Light-skinned,3,"['Crazy Hair', 'Gold Chain', 'Purple Lipstick']",3441,,0x062C54
5168,Female,Dark-skinned,2,"['Orange Side', 'Purple Lipstick']",306,,0xCC7C33
5169,Male,Dark-skinned,2,"['Clown Nose', 'Hoodie']",4093,,0xBA19BA
5170,Male,Light-skinned,3,"['Big Shades', 'Earring', 'Fedora']",3891,,0x38f18A
5171,Female,Light-skinned,1,['Earring'],4541,,0xCC7C33
5172,Female,Light-skinned,2,"['Blue Eye Shadow', 'Straight Hair']",2750,,0xCC7C33
5173,Male,Mid-skinned,3,"['Front Beard', 'Mohawk Thin', 'VR']",5990,,0x26f744
5174,Male,Dark-skinned,3,"['Earring', 'Frumpy Hair', 'Shadow Beard']",9370,,0x51688C
5175,Male,Mid-skinned,4,"['Bandana', 'Cigarette', 'Earring', 'Gold Chain']",3474,,0xB5696E
5176,Male,Dark-skinned,4,"['Big Shades', 'Earring', 'Frown', 'Mohawk']",5297,,0x558E9c
5177,Female,Mid-skinned,3,"['Clown Eyes Green', 'Hot Lipstick', 'Straight Hair Blonde']",1601,,0xfD2200
5178,Male,Light-skinned,2,"['Big Shades', 'Police Cap']",4062,,0x26f744
5179,Male,Mid-skinned,2,"['Eye Patch', 'Fedora']",3869,,0xc4eE33
5180,Female,Dark-skinned,2,"['Classic Shades', 'Crazy Hair']",8726,,0xC6a820
5181,Female,Dark-skinned,3,"['Cigarette', 'Purple Eye Shadow', 'Tassle Hat']",3593,,0x2a15cA
5182,Male,Albino-skinned,4,"['Earring', 'Mole', 'Police Cap', 'Small Shades']",4023,,0x0E9AED
5183,Female,Dark-skinned,3,"['Regular Shades', 'Straight Hair Dark', 'Vape']",2507,,0xcbEFa0
5184,Male,Light-skinned,1,['Normal Beard'],4450,,0xCC7C33
5185,Male,Light-skinned,2,"['Regular Shades', 'Top Hat']",848,,0xCC7C33
5186,Female,Mid-skinned,3,"['Horned Rim Glasses', 'Pigtails', 'Pipe']",597,,0x0601D0
5187,Female,Mid-skinned,3,"['Big Shades', 'Hot Lipstick', 'Red Mohawk']",2293,,0x052564
5188,Male,Mid-skinned,3,"['Cigarette', 'Shaved Head', 'Small Shades']",7432,,0xf97664
5189,Male,Mid-skinned,3,"['Cap', 'Earring', 'Muttonchops']",7646,,0x4AFFe1
5190,Female,Dark-skinned,2,"['Clown Eyes Green', 'Pigtails']",608,,0x577eBC
5191,Female,Light-skinned,2,"['Pink With Hat', 'Vape']",685,,0x8Dbbca
5192,Male,Albino-skinned,3,"['Earring', 'Nerd Glasses', 'Wild Hair']",9548,,0x7d4823
5193,Female,Mid-skinned,3,"['Black Lipstick', 'Clown Eyes Green', 'Mohawk']",8376,,0x12FC65
5194,Male,Light-skinned,3,"['Clown Eyes Green', 'Earring', 'Messy Hair']",8433,,0x67ff0c
5195,Female,Dark-skinned,3,"['Bandana', 'Hot Lipstick', 'Pipe']",7920,,0x9AE891
5196,Male,Dark-skinned,2,"['Front Beard', 'Vampire Hair']",2050,,0xAE43B2
5197,Male,Light-skinned,2,"['Clown Nose', 'Luxurious Beard']",4081,,0x279679
5198,Male,Dark-skinned,3,"['Mohawk', 'Mustache', 'Regular Shades']",6674,,0xfB1841
5199,Female,Mid-skinned,3,"['Hot Lipstick', 'Messy Hair', 'Nerd Glasses']",9672,,0x4084dF
5200,Male,Mid-skinned,2,"['Eye Patch', 'Mohawk']",9093,,0x51688C
5201,Male,Dark-skinned,3,"['Eye Mask', 'Frumpy Hair', 'Pipe']",7112,,0x55e149
5202,Female,Dark-skinned,4,"['Black Lipstick', 'Classic Shades', 'Earring', 'Mohawk Thin']",9098,,
5203,Female,Mid-skinned,2,"['Big Shades', 'Dark Hair']",3071,,0xb38071
5204,Male,Light-skinned,5,"['Classic Shades', 'Earring', 'Fedora', 'Front Beard Dark', 'Medical Mask']",3272,,0x98CFeA
5205,Male,Albino-skinned,2,"['Frown', 'Police Cap']",3928,,0xCC7C33
5206,Male,Dark-skinned,3,"['Normal Beard Black', 'Regular Shades', 'Shaved Head']",6740,,0xCC7C33
5207,Male,Dark-skinned,2,"['Goat', 'Mohawk Dark']",7302,,0xCC7C33
5208,Female,Light-skinned,5,"['Black Lipstick', 'Clown Eyes Blue', 'Crazy Hair', 'Earring', 'Vape']",3335,,0xCC7C33
5209,Male,Mid-skinned,2,"['Small Shades', 'Vampire Hair']",2173,,0xeC959F
5210,Female,Dark-skinned,2,"['Green Eye Shadow', 'Straight Hair Dark']",2499,,0xCC7C33
5211,Female,Light-skinned,5,"['Cigarette', 'Earring', 'Purple Eye Shadow', 'Purple Lipstick', 'Straight Hair Dark']",2435,['Hidden Earring'],0xCC7C33
5212,Female,Mid-skinned,3,"['Blonde Bob', 'Clown Eyes Green', 'Purple Lipstick']",2184,,0x9e67D0
5213,Male,Light-skinned,3,"['Chinstrap', 'Police Cap', 'VR']",3953,,0xF40B3d
5214,Male,Albino-skinned,3,"['Eye Patch', 'Silver Chain', 'Wild Hair']",2958,,0xCC7C33
5215,Male,Dark-skinned,2,"['Crazy Hair', 'Regular Shades']",8746,,0xf1d601
5216,Male,Mid-skinned,2,"['Cap', 'Normal Beard Black']",6779,,0xa25803
5217,Ape,Ape-skinned,2,"['Gold Chain', 'Knitted Cap']",33,,0xE83C75
5218,Male,Dark-skinned,3,"['Classic Shades', 'Hoodie', 'Shadow Beard']",4955,,0xD79b93
5219,Female,Mid-skinned,3,"['Medical Mask', 'Purple Lipstick', 'Wild Blonde']",1491,['Hidden Lipstick'],0x5f18f9
5220,Male,Mid-skinned,3,"['Bandana', 'Earring', 'Front Beard']",6113,,0xF4f488
5221,Female,Mid-skinned,3,"['Big Shades', 'Hot Lipstick', 'Tassle Hat']",3696,,0x062C54
5222,Female,Dark-skinned,3,"['Black Lipstick', 'Mohawk Dark', 'Mole']",9026,,0x561786
5223,Male,Mid-skinned,3,"['Big Beard', 'Classic Shades', 'Headband']",1826,,0x77d550
5224,Male,Dark-skinned,2,"['Crazy Hair', 'Luxurious Beard']",6408,,0xE30161
5225,Male,Albino-skinned,2,"['Earring', 'Eye Patch']",4559,,0x1DA533
5226,Male,Light-skinned,4,"['Earring', 'Regular Shades', 'Shadow Beard', 'Stringy Hair']",9772,,0xbaC42c
5227,Male,Dark-skinned,2,"['Cigarette', 'Frumpy Hair']",9459,,0x516358
5228,Male,Light-skinned,2,"['Front Beard', 'Stringy Hair']",6104,,0xAB6cA2
5229,Male,Dark-skinned,4,"['Big Shades', 'Muttonchops', 'Peak Spike', 'Smile']",4289,,0xFf2854
5230,Male,Light-skinned,2,"['Beanie', 'Shadow Beard']",85,,0x33F848
5231,Male,Light-skinned,3,"['Earring', 'Normal Beard', 'Peak Spike']",6938,,0x94de7E
5232,Female,Mid-skinned,4,"['Black Lipstick', 'Earring', 'Nerd Glasses', 'Wild White Hair']",1310,['Hidden Earring'],0xdD9D84
5233,Male,Mid-skinned,3,"['Cigarette', 'Knitted Cap', 'Smile']",4333,,0x22c649
5234,Zombie,Zombie-skinned,3,"['Big Shades', 'Crazy Hair', 'Earring']",546,,0xFB5251
5235,Male,Dark-skinned,3,"['Clown Nose', 'Cowboy Hat', 'Silver Chain']",1343,,0xD79b93
5236,Female,Dark-skinned,2,"['Cap', 'Eye Patch']",8150,,0x36A5Bc
5237,Male,Dark-skinned,2,"['Classic Shades', 'Peak Spike']",7778,,0xfD7e83
