Number,Type,Skin,NumberTraits,Traits,Rarity,HiddenTraits,Owner
1449,Female,Dark-skinned,2,"['Bandana', 'Big Shades']",9926,,
1450,Female,Mid-skinned,3,"['3D Glasses', 'Hot Lipstick', 'Mohawk Dark']",6438,,0x69021A
1451,Male,Light-skinned,3,"['Bandana', 'Classic Shades', 'Earring']",9884,,0xb9682E
1452,Female,Mid-skinned,4,"['Bandana', 'Earring', 'Mole', 'Purple Lipstick']",9957,,0x68A7Ac
1453,Female,Mid-skinned,3,"['Blonde Bob', 'Clown Eyes Blue', 'Purple Lipstick']",2204,,0x577eBC
1454,Female,Light-skinned,2,"['Earring', 'Red Mohawk']",2424,,0x3Cf522
1455,Female,Mid-skinned,4,"['Earring', 'Purple Lipstick', 'Regular Shades', 'Wild Blonde']",1643,,0xC5FaF1
1456,Male,Mid-skinned,2,"['Headband', 'Mole']",8690,,0x4bbb41
1457,Female,Light-skinned,3,"['Cigarette', 'Mohawk Thin', 'Regular Shades']",9155,,0x1C41D8
1458,Male,Dark-skinned,3,"['Cigarette', 'Earring', 'Peak Spike']",7823,,0xD9D8A5
1459,Male,Dark-skinned,3,"['Luxurious Beard', 'Messy Hair', 'Nerd Glasses']",6523,,0xB88F61
1460,Male,Light-skinned,2,"['3D Glasses', 'Messy Hair']",6533,,0x513068
1461,Female,Dark-skinned,2,"['Clown Eyes Blue', 'Straight Hair']",2793,,0x577eBC
1462,Male,Albino-skinned,4,"['Big Beard', 'Earring', 'Eye Patch', 'Headband']",1824,,0x8F6b1e
1463,Male,Dark-skinned,3,"['Cigarette', 'Earring', 'Mohawk Thin']",9311,,0x8bE6ad
1464,Male,Light-skinned,2,"['Do-rag', 'Mole']",7582,,0x00B278
1465,Male,Mid-skinned,3,"['Cigarette', 'Mohawk Dark', 'Regular Shades']",8990,,0xa47780
1466,Male,Mid-skinned,2,"['Clown Eyes Green', 'Stringy Hair']",8454,,0x7a341c
1467,Female,Mid-skinned,2,"['Green Eye Shadow', 'Wild Hair']",5805,,0xBeC69d
1468,Female,Light-skinned,2,"['Hot Lipstick', 'Straight Hair Dark']",2692,,0xB88F61
1469,Male,Dark-skinned,3,"['Muttonchops', 'Regular Shades', 'Stringy Hair']",7760,,0x5ea968
1470,Female,Light-skinned,3,"['Mohawk Thin', 'Purple Lipstick', 'Welding Goggles']",454,,0xCffC33
1471,Female,Dark-skinned,2,"['Blue Eye Shadow', 'Cap']",5632,,0x6eF237
1472,Male,Light-skinned,2,"['Eye Mask', 'Hoodie']",4896,,0x19F233
1473,Male,Dark-skinned,3,"['Chinstrap', 'Earring', 'Messy Hair']",6242,,0x027cAE
1474,Male,Mid-skinned,3,"['Big Shades', 'Gold Chain', 'Peak Spike']",3424,,0x74Be0A
1475,Female,Mid-skinned,3,"['Earring', 'Mohawk', 'VR']",7968,['Hidden Earring'],0x8E1C5F
1476,Female,Dark-skinned,3,"['Dark Hair', 'Earring', 'Pipe']",3018,['Hidden Earring'],0x577eBC
1477,Female,Mid-skinned,3,"['Big Shades', 'Earring', 'Straight Hair']",2822,['Hidden Earring'],0xb89c2F
1478,Zombie,Zombie-skinned,2,"['Shadow Beard', 'Wild Hair']",556,,0xE83C75
1479,Female,Light-skinned,2,"['Crazy Hair', 'VR']",7941,,0x8Dbbca
1480,Male,Light-skinned,3,"['Chinstrap', 'Small Shades', 'Stringy Hair']",6175,,0x954b4C
1481,Male,Light-skinned,2,"['Mohawk Dark', 'Rosy Cheeks']",1070,,0x577eBC
1482,Male,Dark-skinned,2,"['Cigarette', 'Mohawk']",9319,,0x00B278
1483,Male,Albino-skinned,3,"['3D Glasses', 'Frown', 'Top Hat']",770,,0x9d3F4E
1484,Male,Light-skinned,3,"['Earring', 'Handlebars', 'Hoodie']",4812,['Hidden Earring'],0x5b68eE
1485,Female,Dark-skinned,3,"['Cap', 'Earring', 'Purple Eye Shadow']",5341,,0x5ea968
1486,Male,Mid-skinned,3,"['Big Shades', 'Mohawk Thin', 'Muttonchops']",7710,,0x7a341c
1487,Female,Mid-skinned,2,"['Black Lipstick', 'Frumpy Hair']",9433,,0x5ea968
1488,Male,Light-skinned,2,"['3D Glasses', 'Shaved Head']",6327,,0x005734
1489,Female,Light-skinned,3,"['Earring', 'Purple Lipstick', 'Wild White Hair']",1328,['Hidden Earring'],0x6D5551
1490,Male,Mid-skinned,3,"['Cap', 'Clown Eyes Green', 'Earring']",8129,,0xa58FF1
